book_title,author,publisher,pub_year,isbn,country
제9회 십분발휘 짧은 소설 공모전 수상작품집,"김다미, 김성호, 김정원, 윤산, 이동연, 이범기, 이서율, 정호재, 조서현, 추연우",오를,2025.0,9791198689030,한국
종말까지 다섯 걸음,장강명,문학동네,2025.0,9791141602499,한국
좋아 보여서 다행,이주란,마음산책,2024.0,9788960908826,한국
진눈깨비,구자명,나무와숲,2016.0,9788993632538,한국
찬란한 타인들,유이월,자유문방,2022.0,9791197983115,한국
채전,강경애,더플래닛,2021.0,9788967915698,한국
초여름의 기억,정이흔,부크크,2023.0,9791141059316,한국
축구전,강경애,더플래닛,2020.0,9788967915230,한국
출학,나도향,더플래닛,2023.0,9788967916251,한국
치킨으로 귀신 잡는 법,박생강,걷는 사람,2019.0,9791191262889,한국
코믹 헤븐에 어서 오세요,박서련,마음산책,2021.0,9788960906884,한국
팔 개월,최서해,더플래닛,2021.0,9788967915681,한국
하루만 하루끼,"강작, 김은지, 김택수, 래연, 서희, 수잔, 순심, 유야, 임수연, 해민",지구불시착,2020.0,9791197115974,한국
할멈,이광수,더플래닛,2021.0,9788967915711,한국
해변의 모래알 같이,정선엽,별빛들,2023.0,9791189885816,한국
행성어서점,김초엽,마음산책,2021.0,9788960907003,한국
"혼자, 괜찮아?","구자명, 구준회, 김민효, 김의규, 김정묘, 김진초, 김채옥, 김혁, 노길용, 배명희, 안영실, 양동혁, 윤신숙, 이성우, 이청수, 이현신, 임나라, 임재희, 정성환, 정혜영, 조데레사, 최옥정, 한상준",문학의문학,2018.0,9791187433088,한국
활란,오정희,시공사,2022.0,9791169250726,한국
후후후의 숲,조경란,스윙밴드,2016.0,9791186661116,한국
